pmt_symbol,tov_symbol,symbol_match,direction,pmt_trade_time,pmt_signal_price,tov_entry_time,tov_entry_price,tov_exit_time,tov_exit_price,tov_qty,tov_pnl,fill_latency_sec,entry_slippage
ESM2026,ESM6,True,BUY,2026-03-19 04:45:00.725689,6648.0,2026-03-19 04:45:00,6648.0,2026-03-19 04:45:47,6650.0,2,200.0,-0.725689,0.0
ESM2026,ESM6,True,BUY,2026-03-19 04:30:00.751611,6656.25,2026-03-19 04:30:00,6656.25,2026-03-19 04:30:32,6658.25,2,200.0,-0.751611,0.0
ESM2026,ESM6,True,BUY,2026-03-19 04:00:01.297046,6659.25,2026-03-19 04:00:01,6659.75,2026-03-19 04:00:12,6661.75,1,100.0,-0.297046,-0.5
ESM2026,ESM6,True,BUY,2026-03-19 03:45:03.378888,6660.75,2026-03-19 03:45:03,6661.25,2026-03-19 03:45:49,6663.25,2,200.0,-0.378888,-0.5
ESM2026,ESM6,True,BUY,2026-03-18 10:30:14.298629,6721.75,2026-03-18 10:31:07,6726.0,2026-03-18 10:33:14,6728.0,2,200.0,52.701371,-4.25
ESM2026,ESM6,True,BUY,2026-03-18 10:15:02.115749,6734.25,2026-03-18 10:15:08,6735.5,2026-03-18 10:15:12,6737.5,2,200.0,5.884251,-1.25
ESH2026,ESH6,True,SELL,2026-03-17 06:00:01.315944,6747.25,2026-03-17 06:00:01,6696.5,2026-03-17 06:00:58,6694.5,2,200.0,-0.315944,50.75
ESH2026,ESH6,True,SELL,2026-03-17 05:45:01.542482,6745.5,2026-03-17 05:45:01,6694.75,2026-03-17 05:45:41,6692.75,2,200.0,-0.542482,50.75
ESH2026,ESH6,True,SELL,2026-03-17 05:30:00.684425,6746.25,2026-03-17 05:30:00,6695.5,2026-03-17 05:36:59,6693.5,2,200.0,-0.684425,50.75
ESH2026,ESH6,True,BUY,2026-03-17 04:30:00.895185,6723.75,2026-03-17 04:30:01,6674.0,2026-03-17 04:32:15,6676.0,2,200.0,0.104815,49.75
